Make,Model,Price,Miles,AgeYearsOld,Space,Color,State
Chevrolet,Malibu,11000,93392,6,Less Room,Black,IA
Chevrolet,Malibu,23500,22559,3,Less Room,Bronze,IA
Toyota,Corolla,1499,278594,15,Less Room,Champagne,MN
Chevrolet,Impala,1500,229000,15,More Room,,MN
Chevrolet,Malibu,15995,22324,3,Less Room,Maroon,MN
Honda,Civic,2995,173093,14,Less Room,Black,IA
Honda,Accord,17990,48900,5,More Room,Bronze,IA
Honda,Civic,12990,38000,4,Less Room,Gray,MN
Chevrolet,Malibu,14700,46108,3,Less Room,White,MN
Toyota,Camry,17000,51714,4,More Room,White,MN
Honda,Civic,3999,142422,14,Less Room,Red,MN
Chevrolet,Impala,15490,53892,4,More Room,Blue,IA
Honda,Accord,19699,9256,2,More Room,Silver,MN
Chevrolet,Impala,6700,95837,11,More Room,White,IA
Honda,Accord,22999,11530,2,More Room,,MN
Toyota,Camry,15414,17164,5,More Room,Silver,WI
Chevrolet,Impala,23450,26884,2,More Room,Black,MN
Chevrolet,Impala,16495,46598,5,More Room,Blue,IA
Chevrolet,Impala,25962,7882,3,More Room,Maroon,MN
Chevrolet,Impala,22495,14929,1,More Room,White,MN
Honda,Accord,9895,166289,6,More Room,,IA
Honda,Civic,7995,97000,8,Less Room,Blue,MN
Chevrolet,Impala,4995,148000,11,More Room,Gray,IA
Chevrolet,Malibu,9458,68697,7,Less Room,Black,MN
Chevrolet,Malibu,6495,149385,7,Less Room,Black,MN
Chevrolet,Impala,17570,46858,3,More Room,Silver,MN
Chevrolet,Malibu,6995,108558,10,Less Room,Green,MN
Chevrolet,Impala,7495,109250,8,More Room,Silver,MN
Chevrolet,Impala,6990,140081,8,More Room,Gold,IA
Chevrolet,Impala,13995,44500,3,More Room,Black,MN
Chevrolet,Impala,8900,76000,10,More Room,Black,MN
Chevrolet,Impala,4145,188242,11,More Room,,MN
Chevrolet,Malibu,9603,79154,7,Less Room,White,IA
Chevrolet,Impala,4675,181102,9,More Room,Silver,IA
Honda,Accord,5650,182582,10,More Room,Silver,MN
