Make,Model,Price,Miles,AgeYearsOld,Space,Color,State
Chevrolet,Malibu,12999,53040,6,Less Room,Blue,IA
Chevrolet,Impala,17950,79309,5,More Room,Black,IA
Chevrolet,Impala,4995,153742,13,More Room,,MN
Chevrolet,Malibu,15995,38000,3,Less Room,Blue,MN
Chevrolet,Impala,7350,89000,7,More Room,Silver,MN
Toyota,Camry,19199,25117,4,More Room,Silver,MN
Chevrolet,Impala,4495,155000,15,More Room,Silver,MN
Chevrolet,Malibu,8795,70179,11,Less Room,Blue,MN
Chevrolet,Impala,6000,167652,12,More Room,Blue,MN
Chevrolet,Malibu,18695,15812,2,Less Room,Maroon,MN
Chevrolet,Malibu,15900,42700,3,Less Room,Gray,MN
Chevrolet,Impala,9995,73000,6,More Room,Black,MN
Chevrolet,Impala,5300,123000,10,More Room,Gray,MN
Toyota,Corolla,14399,12418,3,Less Room,Gray,WI
Honda,Civic,4450,149239,14,Less Room,Silver,MN
Chevrolet,Impala,4000,178432,11,More Room,White,MN
Chevrolet,Impala,4850,117000,12,More Room,Red,IA
Chevrolet,Malibu,14999,40767,2,Less Room,Black,MN
Chevrolet,Malibu,1247,198008,16,Less Room,,IA
Chevrolet,Impala,8995,112011,5,More Room,Silver,MN
Honda,Accord,5995,120245,14,More Room,Green,MN
Chevrolet,Impala,6995,101744,13,More Room,Black,IA
Toyota,Corolla,9450,31000,7,Less Room,Blue,MN
Honda,Accord,21199,17661,3,More Room,,MN
Chevrolet,Impala,7995,126648,7,More Room,Red,MN
Chevrolet,Impala,6995,95000,7,More Room,Blue,MN
Chevrolet,Malibu,3995,203832,15,Less Room,Silver,MN
Chevrolet,Malibu,14129,44409,4,Less Room,Black,MN
Chevrolet,Malibu,7812,86301,8,Less Room,Silver,MN
Toyota,Corolla,13499,39502,2,Less Room,White,MN
Toyota,Corolla,12000,22508,8,Less Room,Blue,MN
Chevrolet,Impala,24999,4095,4,More Room,Silver,IA
Toyota,Camry,17000,29229,4,More Room,Pearl,MN
Honda,Accord,18699,33229,4,More Room,Silver,MN
Chevrolet,Impala,10000,66557,7,More Room,Silver,MN
Honda,Civic,10999,87203,9,Less Room,,MN
Honda,Civic,14599,73022,6,Less Room,Black,IA
Honda,Accord,2499,187000,19,More Room,Silver,MN
Chevrolet,Impala,4995,128938,13,More Room,Black,IA
Chevrolet,Impala,2000,225000,13,More Room,Silver,MN
Toyota,Camry,14699,43029,6,More Room,Gray,MN
Toyota,Camry,4896,91055,19,More Room,Silver,IA
Toyota,Corolla,13599,38687,4,Less Room,,MN
Chevrolet,Impala,8750,107403,7,More Room,Silver,IA
Chevrolet,Impala,5900,131115,10,More Room,Black,MN
Chevrolet,Impala,4500,158000,11,More Room,Blue,MN
Toyota,Camry,17999,22533,4,More Room,Blue,IA
